Date,Order Number,Currency,Sub-total,Shipping,Tax,Total,Earning,Status,Coupon Code,Products
15-Jun-2024,182323,USD,1069,0,104.23,1173.23,85.52,approved,xToolBrandon,"xTool D1 Pro 2.0 Desktop Laser Engraver Cutting Machine - D1 Pro 20W All-in-one Kit / Grey / US Plug (110V), FREE xTool Fire Safety Set: Auto Fire Detection, Fire Extinguishing - US Plug (110V), [Tracking Number] xTool Material Free Father's Day Gift - D1 Father's Day Gift 01 / [Tracking Number] 1/8"" Basswood Plywood Sheets (18pcs), [Tracking Number] D1 Pro Accessory - [Tracking Number] Enclosure / US Plug (110V), [Tracking Number] xTool Material Free Father's Day Gift - D1 Father's Day Gift 01 / [Tracking Number] Deep Gold Metal Business Card Blanks (60pcs), [Tracking Number] D1 Pro Accessory - [Tracking Number] xTool Honeycomb Working Panel Set for D1 Pro/D1, [Tracking Number] D1 Pro Accessory - [Tracking Number] xTool D1 Pro/D1 Air Assist Set - US Plug (110V)"
15-Jun-2024,182234,USD,499,0,23.51,522.51,29.94,approved,,[Refurbished] xTool D1 Pro Laser Engraver Cutting Machine - Red / Refurbished D1 Pro 20W + Enclosure
13-Jun-2024,181786,USD,987.98,0,63.17,1051.15,59.2788,approved,mil-d50d0a1d2,"xToolCare for xTool S1 - for xTool S1 10W, xTool S1 Enclosed Diode Laser Cutter - xTool S1 10W / Black / xTool S1 10W Basic Bundle, [Tracking Number] S1 Accessory - [Tracking Number] S1 Smart Air Assist, [Tracking Number] xTool Material Free Father's Day Gift - S1 Father's Day Gift 01 / [Tracking Number] 1/8"" Basswood Plywood Sheets(6pcs), [Tracking Number] S1 Accessory - [Tracking Number] S1 Honeycomb Panel, [Tracking Number] xTool Material Free Father's Day Gift - S1 Father's Day Gift 01 / [Tracking Number] Glossy Black Aluminum Business Cards (300pcs)"
12-Jun-2024,181581,USD,699,0,57.68,756.68,55.92,approved,,xTool D1 Pro 2.0 Desktop Laser Engraver Cutting Machine - D1 Pro 10W All-in-one Kit / Grey / US Plug (110V)
12-Jun-2024,181578,USD,3153.03,0,220.70,3373.73,189.1818,approved,edu-054bba8ee,"xToolCare for xTool S1 - for xTool S1 40W, xTool S1 Enclosed Diode Laser Cutter - xTool S1 40W / Pure White / xTool S1 40W All-in-One Color Bundle"
12-Jun-2024,181408,USD,959.98,0,79.04,1039.02,57.5988,approved,CC10,"xToolCare for xTool S1 - for xTool S1 10W, xTool S1: Enclosed Diode Laser Cutter - xTool S1 10W / Pure White / xTool S1 10W Basic Kit"
04-Jun-2024,178945,USD,99,0,5.94,104.94,7.92,approved,,xTool D1 Pro/D1 Extension Kit - Grey / US Plug (110V) / Extension Kit
04-Jun-2024,178886,USD,208.99,0,15.15,224.14,16.7192,approved,,"xTool Enclosure: foldable and smoke-proof cover for D1/D1 Pro and other laser engravers - Enclosure / US Plug (110V), xTool Safety Goggles for Laser 190nm460nm & 800nm1100nm"
04-Jun-2024,178881,USD,458.99,0,33.27,492.26,30.1392,approved,,"[Refurbished] xTool D1 Pro Laser Engraver Cutting Machine - Red / Refurbished D1 Pro 10W + Enclosure, xTool Honeycomb Working Panel Set for D1 Pro/D1 - Honeycomb (19.68*19.68 inch) / For US & CA, [Tracking Number] D1 Pro Accessory - [Tracking Number] Enclosure / US Plug (110V)"
29-May-2024,177240,USD,3999,160,0.00,3759,239.94,approved,deposit discount,"xTool F1 Ultra 20W Fiber & Diode Dual Laser Engraver - xTool F1 Ultra Standalone / US Plug (110V), [Live Free Gift] xToolCare for xtool F1 Ultra - for F1 Ultra"
29-May-2024,177199,USD,1499,0,89.94,1588.94,119.92,approved,,"< Newbie Exclusive: FREE Material Pack with Machine Order, xTool D1 Pro 2.0 40W Desktop Laser Cutting Machine - D1 Pro 40W All in One Kit / Grey, [Tracking Number] Accessory - [Tracking Number] xTool RA2 Pro, [Free Gifts] xTool D1 Pro Parts Kit - For xTool D1 Pro 40W, [Tracking Number] D1 Pro Accessory - [Tracking Number] Enclosure / US Plug (110V), [Tracking Number] D1 Pro Accessory - [Tracking Number] xTool Risers for xTool D1 Pro/D1 (4 packs) - Grey, [Tracking Number] D1 Pro Accessory - [Tracking Number] xTool Honeycomb Working Panel Set for D1 Pro/D1, [Tracking Number] Accessory - [Tracking Number] xTool Fire Safety Set"
29-May-2024,177152,USD,4704.81,0,332.08,5075.97,282.2886,approved,NEW100OFF,"xTool RA2 Pro Cable for xTool S1 & F1, xTool F1 Pedal & Button Switch - xTool Pedal Switch, [Final Payment] xTool F1 Ultra  - 20W Fiber & Diode Dual Laser Engraver - xTool F1 Ultra Deluxe Bundle / US Plug (110V)"
29-May-2024,176815,USD,3519,0,307.92,3826.92,211.14,approved,NEW80,[Final Payment] xTool F1 Ultra  - 20W Fiber & Diode Dual Laser Engraver - xTool F1 Ultra Standalone / US Plug (110V)
28-May-2024,176202,USD,100,0,0.00,100,6,approved,,F1 Ultra Deposit - 20W Fiber & Diode Dual Laser Engraver for Almost All Materials
